date,value
2025-04-01,186.9
2025-05-01,186.9
2025-06-01,187.3
2025-07-01,187.9
2025-08-01,188.0
2025-09-01,188.2
2025-10-01,189.4
2025-11-01,189.6
2025-12-01,189.7
2026-01-01,189.6
