date,value
2025-01-17,3.01
2025-01-20,2.99
2025-01-21,2.97
2025-01-22,3.02
2025-01-23,3.03
2025-01-24,2.98
2025-01-27,2.91
2025-01-28,2.89
2025-01-29,2.87
2025-01-30,2.79
2025-01-31,2.74
2025-02-03,2.62
2025-02-04,2.66
2025-02-05,2.63
2025-02-06,2.63
2025-02-07,2.75
2025-02-10,2.74
2025-02-11,2.78
2025-02-12,2.87
2025-02-13,2.8
2025-02-14,2.79
2025-02-18,2.89
2025-02-19,2.88
2025-02-20,2.91
2025-02-21,2.8
2025-02-24,2.76
2025-02-25,2.69
2025-02-26,2.7
2025-02-27,2.67
2025-02-28,2.6
2025-03-03,2.5
2025-03-04,2.53
2025-03-05,2.62
2025-03-06,2.72
2025-03-07,2.69
2025-03-10,2.63
2025-03-11,2.64
2025-03-12,2.71
2025-03-13,2.67
2025-03-14,2.72
2025-03-17,2.69
2025-03-18,2.69
2025-03-19,2.66
2025-03-20,2.66
2025-03-21,2.66
2025-03-24,2.7
2025-03-25,2.72
2025-03-26,2.76
2025-03-27,2.72
2025-03-28,2.66
2025-03-31,2.61
2025-04-01,2.57
2025-04-02,2.58
2025-04-03,2.55
2025-04-04,2.52
2025-04-07,2.64
2025-04-08,2.67
2025-04-09,2.8
2025-04-10,2.81
2025-04-11,2.87
2025-04-14,2.74
2025-04-15,2.72
2025-04-16,2.7
2025-04-17,2.73
2025-04-21,2.79
2025-04-22,2.76
2025-04-23,2.84
2025-04-24,2.79
2025-04-25,2.78
2025-04-28,2.76
2025-04-29,2.73
2025-04-30,2.67
2025-05-01,2.7
2025-05-02,2.77
2025-05-05,2.77
2025-05-06,2.75
2025-05-07,2.7
2025-05-08,2.81
2025-05-09,2.75
2025-05-12,2.8
2025-05-13,2.81
2025-05-14,2.84
2025-05-15,2.76
2025-05-16,2.77
2025-05-20,2.88
2025-05-21,2.97
2025-05-22,2.96
2025-05-23,2.93
2025-05-26,2.92
2025-05-27,2.87
2025-05-28,2.85
2025-05-29,2.82
2025-05-30,2.8
2025-06-02,2.82
2025-06-03,2.86
2025-06-04,2.84
2025-06-05,2.86
2025-06-06,2.96
2025-06-09,2.96
2025-06-10,2.94
2025-06-11,2.93
2025-06-12,2.92
2025-06-13,2.96
2025-06-16,2.99
2025-06-17,2.96
2025-06-18,2.93
2025-06-19,2.92
2025-06-20,2.89
2025-06-23,2.85
2025-06-24,2.85
2025-06-25,2.9
2025-06-26,2.87
2025-06-27,2.86
2025-07-02,2.91
2025-07-03,2.94
2025-07-04,2.91
2025-07-07,2.94
2025-07-08,2.96
2025-07-09,2.92
2025-07-10,2.95
2025-07-11,3.03
2025-07-14,3.04
2025-07-15,3.13
2025-07-16,3.1
2025-07-17,3.1
2025-07-18,3.1
2025-07-21,3.06
2025-07-22,3.04
2025-07-23,3.1
2025-07-24,3.1
2025-07-25,3.07
2025-07-28,3.07
2025-07-29,3.03
2025-07-30,3.05
2025-07-31,3.01
2025-08-01,2.94
2025-08-05,2.94
2025-08-06,2.94
2025-08-07,2.94
2025-08-08,2.92
2025-08-11,2.93
2025-08-12,2.96
2025-08-13,2.93
2025-08-14,2.94
2025-08-15,2.98
2025-08-18,3.01
2025-08-19,2.96
2025-08-20,2.96
2025-08-21,2.99
2025-08-22,2.94
2025-08-25,2.98
2025-08-26,2.95
2025-08-27,2.95
2025-08-28,2.94
