date,population,employment,avg_weekly_earnings,gdp_monthly,cpi_all_items,participation_rate,usdcad,overnight_rate,bond_yield_10yr
2001-02-28,,-0.20400327319109807,0.28300353066283207,-0.19346878755414657,0.8733293960204326,0.008942969275789482,,,0.10395667249780023
2001-03-31,,-0.09186468573788147,-0.03579369731168221,-0.10246442557758613,0.3344273420459352,0.30704194513542,,,-0.705179016690843
2001-04-30,-0.11768344925013562,0.11893028425096738,0.4358663143461866,-0.2538314211391294,1.3916070867632278,0.008942969275789482,,,1.715134978275051
2001-05-31,,0.047581238477719064,-0.9036595128518357,0.2679689276110972,1.6407191398057062,0.008942969275789482,,,1.540172520807631
2001-06-30,,-0.30021880933960177,-1.2232195001347919,-0.25126055246975443,-0.2035443633574306,-0.28915600658384105,,,-0.7319500490789614
2001-07-31,0.2833905426482464,0.046848816715658985,-1.8698184373175228,-0.31805805958730315,-1.252710619537315,-0.2891560065838834,,,0.5144041363549356
2001-08-31,,-0.11098933984072329,0.04859939324560954,0.17078520804490455,-0.4656363311377891,0.008942969275789482,,,-1.5196939320135445
2001-09-30,,0.05019062190719891,2.2648096094611896,-0.7196142454847823,0.059345989481375726,0.008942969275789482,,,-1.2810590825607504
2001-10-31,0.24473191161324628,-0.09717360103316054,-0.27384442674077325,0.2930368962573552,-1.780096224155222,0.30704194513546235,,,-0.36573470415527404
2001-11-30,,-0.02946210841736403,0.2742245581444663,0.4826719822927348,-2.848636647701575,0.30704194513542,,,-0.2829723143080906
2001-12-31,,-0.3070001571720152,0.349116753437648,-0.2850327980799853,0.06582059611713298,0.605140920995093,,,1.3749618036427405
2002-01-31,-0.9369891389151876,0.26452602847643375,0.7316940437504333,0.9216562285886035,0.06473042729592199,0.30704194513542,,,-0.33614566835788046
2002-02-28,,0.03919912876228675,0.03271031324982813,0.3800864531440318,1.1189674280526865,0.008942969275789482,,,-0.0925477091623021
2002-03-31,,0.43876374612319513,0.03162342877729727,-0.27632372290229223,1.3708766450012082,0.605140920995093,,,2.0380011347727236
2002-04-30,-0.18215376458860572,0.2137691567846335,-0.12249403732614479,0.5520001883545232,1.098201323914476,0.008942969275789482,,,-0.01005790188787485
2002-05-31,,0.2636164104562006,-1.582902941234593,-0.013685062805121112,0.05354798804632841,0.605140920995093,,,-0.32425474742995475
2002-06-30,,0.3172100181981505,-0.7392068710845022,-0.05097712390830778,0.05250753781177496,0.30704194513542,,,-0.9552755024400544
2002-07-31,0.20503645153867225,0.15744097030428608,-1.9108041804668676,0.22931535526526495,1.0825940679480068,0.30704194513546235,,,-0.7335513070909672
2002-08-31,,0.4602579447527295,0.19511174253762364,0.21363081754549113,0.5613906561050452,0.6051409209950506,,,-0.9441167356689325
2002-09-30,,-0.13909111019038972,2.4289772332697686,-0.4004517796776556,-0.4656363311377891,0.008942969275789482,,,-1.3197743672497242
2002-10-31,-0.05901062306429329,-0.028635547122955636,-0.581991995739776,0.445873841144407,0.3019655312530555,0.008942969275789482,,,1.4356153765553321
2002-11-30,,0.21282321833305845,0.10648007051282539,-0.2143614294222928,0.29969339612232887,0.30704194513546235,,,-0.18002893789600946
2002-12-31,,0.27785911293668625,-0.42874035643816266,-0.47445890707909744,-1.486580220666295,0.605140920995093,,,-0.6668238833721587
2003-01-31,-1.1373771031315896,0.009926516331048027,1.0913399605294107,0.36003755435178436,1.8258442874402132,0.008942969275789482,,,0.005441775275159704
2003-02-28,,0.275157628605272,0.025019332058577787,0.09770787214089673,1.5543247560466682,0.6051409209950506,,,0.32830793177282735
2003-03-31,,-0.0704116862617486,-0.5786817025678971,-0.27274597048469107,0.2877989880569561,-0.28915600658384105,,,-0.04758738654411495
2003-04-30,-0.4332386585728721,-0.24245553286667074,-0.27689405472980716,-0.5035009052726647,-2.22707957065887,0.008942969275789482,,,0.35477872828370066
2003-05-31,,-0.25588875741895345,-0.7301832269320183,0.1313975598924564,-0.21326568730823223,0.008942969275789482,,,-2.157945367734081
2003-06-30,,0.2387624318621206,-1.7212452728729508,0.1337134158181616,-0.4656363311377891,0.008942969275789482,,,-2.17996266539908
2003-07-31,-0.04052912391606458,0.02158214478692596,-0.7350719255024355,0.36051371127299964,-0.21351178256307846,0.30704194513542,,,2.3216990191175
2003-08-31,,-0.1933163804994098,0.41195332843450844,-1.147380495626837,0.28926553090588464,-0.28915600658384105,,,1.302948648295504
2003-09-30,,0.12245979510112726,2.737228212002511,1.0833872014642068,0.03640985393536419,0.30704194513542,,,-0.7989276693621372
2003-10-31,-0.035632093221166034,0.25377957865945183,-0.35237234334885614,0.2786997337936761,-1.2190716503325438,0.008942969275789482,,,0.37529484656244905
2003-11-30,,0.21235090438486925,-0.35237234334885614,-0.05844484963482004,0.2877989880569561,0.008942969275789482,,,0.27748115813206614
2003-12-31,,0.16716558283254543,0.09393624196105957,0.2613865067293649,-0.21497833373039832,0.30704194513546235,,,-0.700313351925759
2004-01-31,-0.9577252561815642,-0.1367065022728536,0.9778354352001383,0.012113580218161387,-0.21522110180461226,-0.2891560065838834,,,-0.7873685880880151
2004-02-29,,-0.07739733686378227,-0.13193004006230094,-0.2315962863460405,0.03446770113569416,0.008942969275789482,,,-0.7401690062186816
2004-03-31,,-0.06225966202379703,-0.42581343109515607,0.735741398433476,0.5316790966457325,-0.28915600658384105,,,-1.065989113892708
2004-04-30,-0.46044045588833293,0.19220389318824868,-0.058845559055588734,0.09228705326489528,0.03158248378134291,0.30704194513542,,,2.0751194268144766
