date,immigrants,unemployment_rate,avg_weekly_earnings,cpi_all_items,manufacturing_sales,participation_rate,usdcad,overnight_rate,bond_yield_10yr
2001-02-28,,0.2431303527229734,0.28300353066283207,0.8733293960204326,,0.008942969275789482,,,0.10395667249780023
2001-03-31,,0.2431303527229734,-0.03579369731168221,0.3344273420459352,,0.30704194513542,,,-0.705179016690843
2001-04-30,0.8022078275171858,0.0031990835884601904,0.4358663143461866,1.3916070867632278,,0.008942969275789482,,,1.715134978275051
2001-05-31,,-0.236732185546053,-0.9036595128518357,1.6407191398057062,,0.008942969275789482,,,1.540172520807631
2001-06-30,,0.4830616218574887,-1.2232195001347919,-0.2035443633574306,,-0.28915600658384105,,,-0.7319500490789614
2001-07-31,-0.03283098997748395,-0.23673218554605513,-1.8698184373175228,-1.252710619537315,,-0.2891560065838834,,,0.5144041363549356
2001-08-31,,0.24313035272297553,0.04859939324560954,-0.4656363311377891,,0.008942969275789482,,,-1.5196939320135445
2001-09-30,,0.0031990835884601904,2.2648096094611896,0.059345989481375726,,0.008942969275789482,,,-1.2810590825607504
2001-10-31,-1.3750231700563686,0.2431303527229734,-0.27384442674077325,-1.780096224155222,,0.30704194513546235,,,-0.36573470415527404
2001-11-30,,0.4830616218574887,0.2742245581444663,-2.848636647701575,,0.30704194513542,,,-0.2829723143080906
2001-12-31,,1.4427866983955435,0.349116753437648,0.06582059611713298,,0.605140920995093,,,1.3749618036427405
2002-01-31,0.7373140682756785,-0.236732185546053,0.7316940437504333,0.06473042729592199,,0.30704194513542,,,-0.33614566835788046
2002-02-28,,-0.236732185546053,0.03271031324982813,1.1189674280526865,,0.008942969275789482,,,-0.0925477091623021
2002-03-31,,0.0031990835884601904,0.03162342877729727,1.3708766450012082,,0.605140920995093,,,2.0380011347727236
2002-04-30,0.736060077098411,-0.47666345468056837,-0.12249403732614479,1.098201323914476,,0.008942969275789482,,,-0.01005790188787485
2002-05-31,,0.2431303527229734,-1.582902941234593,0.05354798804632841,,0.605140920995093,,,-0.32425474742995475
2002-06-30,,-0.47666345468056837,-0.7392068710845022,0.05250753781177496,,0.30704194513542,,,-0.9552755024400544
2002-07-31,-1.4858869001820663,0.0031990835884601904,-1.9108041804668676,1.0825940679480068,,0.30704194513546235,,,-0.7335513070909672
2002-08-31,,-0.47666345468056626,0.19511174253762364,0.5613906561050452,,0.6051409209950506,,,-0.9441167356689325
2002-09-30,,0.4830616218574866,2.4289772332697686,-0.4656363311377891,,0.008942969275789482,,,-1.3197743672497242
2002-10-31,-1.1065673668811749,0.0031990835884601904,-0.581991995739776,0.3019655312530555,,0.008942969275789482,,,1.4356153765553321
2002-11-30,,-0.236732185546053,0.10648007051282539,0.29969339612232887,,0.30704194513546235,,,-0.18002893789600946
2002-12-31,,0.2431303527229734,-0.42874035643816266,-1.486580220666295,,0.605140920995093,,,-0.6668238833721587
2003-01-31,0.36567278926997066,-0.236732185546053,1.0913399605294107,1.8258442874402132,,0.008942969275789482,,,0.005441775275159704
2003-02-28,,0.0031990835884601904,0.025019332058577787,1.5543247560466682,,0.6051409209950506,,,0.32830793177282735
2003-03-31,,-0.236732185546053,-0.5786817025678971,0.2877989880569561,,-0.28915600658384105,,,-0.04758738654411495
2003-04-30,1.150451498310158,0.4830616218574866,-0.27689405472980716,-2.22707957065887,,0.008942969275789482,,,0.35477872828370066
2003-05-31,,0.4830616218574887,-0.7301832269320183,-0.21326568730823223,,0.008942969275789482,,,-2.157945367734081
2003-06-30,,-0.47666345468056837,-1.7212452728729508,-0.4656363311377891,,0.008942969275789482,,,-2.17996266539908
2003-07-31,0.3102406371365451,0.24313035272297553,-0.7350719255024355,-0.21351178256307846,,0.30704194513542,,,2.3216990191175
2003-08-31,,0.2431303527229734,0.41195332843450844,0.28926553090588464,,-0.28915600658384105,,,1.302948648295504
2003-09-30,,0.24313035272297553,2.737228212002511,0.03640985393536419,,0.30704194513542,,,-0.7989276693621372
2003-10-31,-0.7944235028412332,-0.7165947238150836,-0.35237234334885614,-1.2190716503325438,,0.008942969275789482,,,0.37529484656244905
2003-11-30,,-0.47666345468056626,-0.35237234334885614,0.2877989880569561,,0.008942969275789482,,,0.27748115813206614
2003-12-31,,-0.23673218554605513,0.09393624196105957,-0.21497833373039832,,0.30704194513546235,,,-0.700313351925759
2004-01-31,0.08689532822124649,0.0031990835884601904,0.9778354352001383,-0.21522110180461226,,-0.2891560065838834,,,-0.7873685880880151
2004-02-29,,0.0031990835884601904,-0.13193004006230094,0.03446770113569416,,0.008942969275789482,,,-0.7401690062186816
2004-03-31,,0.0031990835884601904,-0.42581343109515607,0.5316790966457325,,-0.28915600658384105,,,-1.065989113892708
2004-04-30,0.9029938093099737,-0.236732185546053,-0.058845559055588734,0.03158248378134291,,0.30704194513542,,,2.0751194268144766
2004-05-31,,-0.23673218554605513,-1.0873801372585294,1.7600907913688162,,-0.28915600658384105,,,0.9638322249416789
2004-06-30,,0.24313035272297553,-0.8692507301748691,-0.21951189172819366,,0.30704194513542,,,0.961430337923683
2004-07-31,-0.14106596011080122,-0.23673218554605513,-1.8400811178042646,-0.7117607705474194,,-0.5872549824434715,,,-1.0177996238773612
2004-08-31,,-0.236732185546053,-0.12817628314448704,-0.9585892051063954,,-0.2891560065838834,,,-0.6497604776817842
2004-09-30,,-0.236732185546053,2.382756793338643,0.027316542830824155,,0.30704194513546235,,,-0.1268496581381072
2004-10-31,-1.4512442551305649,0.4830616218574866,-0.20608242415021044,0.026378477803638646,,0.008942969275789482,,,-0.2644577685443431
