date,nhpi_house_only,nhpi_land_only,employment,avg_weekly_earnings,gdp_monthly,cpi_all_items,usdcad,overnight_rate,bond_yield_5yr
2000-02-29,0.2973490262806729,0.7009621030674337,0.01757303541807093,-0.7608847282194774,-0.16833176946682119,1.1846128975923982,,,
2000-03-31,-0.19590094480873582,-0.20299174104297277,0.06128597339399664,-0.1869033598436317,0.6780336737016547,1.447635029036209,,,
2000-04-30,-0.19675356072771374,-0.2038217901693208,0.060200719693231146,0.7921876263440787,-0.2909823696890918,-1.2949263977135466,,,
2000-05-31,0.29052800609035423,0.24234158301672745,-0.026906213500823863,-1.658296190768219,0.406044141713007,0.6214425069015587,,,
2000-06-30,-0.6865811590423652,-0.6524630872593637,-0.051894101224972636,-0.9269209634021235,0.207922769952899,1.1602305176751158,,,
2000-07-31,-0.19929372240222057,-0.206293644439235,-0.10322289926894684,-1.095071557997358,0.05563373213950947,0.33958151524184377,,,
2000-08-31,0.2854739831253275,0.23742506281439912,0.019606484302430446,0.7224576955915669,0.20752725153394178,-0.744081131033919,,,
2000-09-30,-0.20180767430642982,0.23417728862009732,0.18475808879639866,2.1750966425498826,0.014900292702280458,0.6077429417723422,,,
2000-10-31,-0.20263990387394168,-0.2103534232402055,0.04297986083731762,-0.10901516637540225,0.026288762214687605,0.06549620521541254,,,
2000-11-30,0.27881605813348764,0.66905890217194,0.14000032764553624,-0.2704366580580739,-0.09651273322974996,0.33283845077342944,,,
2000-12-31,-0.20511953576662753,-0.6524630872593637,0.23258662942113073,-0.029211296841084693,0.09351588680228068,-0.20519540143204545,,,
2001-01-31,-0.205940442598284,0.22457466429875186,-0.321420480577548,1.0081810177291894,-0.15916949758308155,-1.5477766844957719,,,
2001-02-28,-0.20675855485144923,0.22141984542695461,-0.2088297994232025,0.28394098756874026,-0.20033048147602908,0.8689262134388747,,,-0.12259089541937092
2001-03-31,0.27062081976088653,0.21828764181712745,-0.09450635776248568,-0.0346400322415278,-0.10763729636904269,0.3286805466006296,,,-1.0372557748215518
2001-04-30,0.26738155137199104,0.21517781116183798,0.12039563985672418,0.43670009976771035,-0.26181330105647,1.3884960955309875,,,1.1012699610073047
2001-05-31,-0.2108076926823478,-0.21980189840206954,0.04765646365291518,-0.9019172615007333,0.26967041318628837,1.63822924503527,,,1.4769957225618313
2001-06-30,0.26256354875855353,0.6409163296750764,-0.3069199527196049,-1.2212605233163574,-0.25919472321821757,-0.2106324520829924,,,-0.49023690068205117
2001-07-31,-0.2132045374708865,0.2059801852218443,0.04690977173813743,-1.8674209373346928,-0.32723183218148844,-1.2624145329152727,,,0.41346503717885413
2001-08-31,-0.21399812815569413,-0.22437629220604235,-0.11400362741125646,0.04969582295239398,0.17068319640370427,-0.47337787838479733,,,-1.6079555143692956
2001-09-30,0.2562147428507394,-0.22512930366777076,0.05031668705188599,2.2644030062041174,-0.7362399397251403,0.05291334984387048,,,-2.2771759790853685
2001-10-31,-0.6865811590423652,-0.22587967066228654,-0.09991870940544474,-0.2725293157523643,0.2952035833279813,-1.7911150371096314,,,-1.0604442135416905
2001-11-30,0.2530720840149888,0.19846315338708592,-0.030887958692167185,0.27516796894634843,0.48835784265001453,-2.8623195897828317,,,-0.21741692095456178
2001-12-31,-0.21792650096948205,-0.22811504341738617,-0.31383342506580675,0.35000937237987817,-0.29359370086979464,0.05940409923636683,,,1.3948036504474306
2002-01-31,0.2483971836657346,0.6161517711426809,0.2688281014119665,0.7323271989133002,0.9354885858053197,0.05831121236121443,,,-0.42827270927008937
2002-02-28,1.1741233650172764,1.4472837207686307,0.039111040950442336,0.033817518924895845,0.3838685716288292,1.1151766803602334,,,0.23111781513961235
2002-03-31,0.23918555773753544,0.1823803230656656,0.44646058279841366,0.03273137157701957,-0.28472300610282864,1.3677139677751642,,,2.543386801215971
2002-04-30,1.1558810332765321,1.8349906575894044,0.2170823072877195,-0.1212815721168764,0.5589726142724543,1.0943588013133092,,,0.020759251823408625
2002-05-31,1.1439169087126104,0.9918016892238364,0.26790076083249786,-1.5807000272370177,-0.017210401125626097,0.04710089259212197,,,-0.5129149190470418
2002-06-30,-0.2308078796395518,0.16551476742955634,0.32253856060530395,-0.7375761514553281,-0.05519451362068496,0.046057848264061306,,,-0.9886746731683171
2002-07-31,-0.23154359146759101,-0.24450464826636692,0.15965664956194742,-1.908378883967917,0.2302995230588311,1.0787126326915077,,,-1.5424513688607928
2002-08-31,0.6741409290852032,0.5673178518236587,0.4683735640377449,0.19610880762232183,0.21432391786145644,0.5562097349705157,,,-1.0856773326269888
2002-09-30,-0.2344628393475447,0.15733497365839935,-0.14265291911446487,2.428459291589844,-0.411154582499274,-0.47337787838479733,,,-0.5058949897441082
2002-10-31,0.6654392355807002,1.360300649144455,-0.030045293075751003,-0.5804678991819707,0.4508768160819309,0.2961378006800394,,,1.0699195949158067
2002-11-30,1.106084417511138,1.343761729833375,0.21611793862712453,0.10753724556530563,-0.22161084076866228,0.2938600005681398,,,-0.4583509231015383
2002-12-31,0.20549462309189281,-0.25517895402643687,0.2824209612657168,-0.4273201950864809,-0.4865351050419743,-1.4968672273952595,,,-0.5339747069558285
2003-01-31,-0.24159967453244424,0.5355059955132967,0.009268095042677555,1.0917292039621178,0.3634476132640018,1.8238159543356316,,,-0.0630012682683646
2003-02-28,1.0863536907426037,1.3146666348867733,0.2796668425152142,0.026131753754296553,0.09624972006308329,1.5516194592295742,,,0.6666725196168368
