date,employment,employment_fulltime,unemployment_rate,avg_weekly_earnings,cpi_all_items,gdp_monthly,nhpi_house_only,usdcad,overnight_rate,bond_yield_10yr
2000-02-29,0.01757303541807093,0.07022906365083306,0.2466475578749105,-0.7608847282194774,1.1846128975923982,-0.16833176946682119,0.2973490262806729,,,
2000-03-31,0.06128597339399664,0.2237328166163236,0.0023490243607134195,-0.1869033598436317,1.447635029036209,0.6780336737016547,-0.19590094480873582,,,
2000-04-30,0.060200719693231146,-0.46034327161121047,-0.48624804266767857,0.7921876263440787,-1.2949263977135466,-0.2909823696890918,-0.19675356072771374,,,
2000-05-31,-0.026906213500823863,0.3125867956893188,-0.24194950915348365,-1.658296190768219,0.6214425069015587,0.406044141713007,0.29052800609035423,,,
2000-06-30,-0.051894101224972636,-0.17689546231785047,0.2466475578749105,-0.9269209634021235,1.1602305176751158,0.207922769952899,-0.6865811590423652,,,
2000-07-31,-0.10322289926894684,-0.1067703120160015,0.2466475578749083,-1.095071557997358,0.33958151524184377,0.05563373213950947,-0.19929372240222057,,,
2000-08-31,0.019606484302430446,-0.12681496545716534,0.4909460913891054,0.7224576955915669,-0.744081131033919,0.20752725153394178,0.2854739831253275,,,
2000-09-30,0.18475808879639866,-0.16353421759254408,-0.24194950915348148,2.1750966425498826,0.6077429417723422,0.014900292702280458,-0.20180767430642982,,,
2000-10-31,0.04297986083731762,0.4747410350364028,0.2466475578749083,-0.10901516637540225,0.06549620521541254,0.026288762214687605,-0.20263990387394168,,,
2000-11-30,0.14000032764553624,0.5577240013895222,-0.24194950915348148,-0.2704366580580739,0.33283845077342944,-0.09651273322974996,0.27881605813348764,,,
2000-12-31,0.23258662942113073,0.021458916202233235,-0.24194950915348365,-0.029211296841084693,-0.20519540143204545,0.09351588680228068,-0.20511953576662753,,,
2001-01-31,-0.321420480577548,-0.41783716606608573,0.2466475578749105,1.0081810177291894,-1.5477766844957719,-0.15916949758308155,-0.205940442598284,,,
2001-02-28,-0.2088297994232025,-0.09185587230650634,0.2466475578749083,0.28394098756874026,0.8689262134388747,-0.20033048147602908,-0.20675855485144923,,,0.10395667249780023
2001-03-31,-0.09450635776248568,-0.154666233737466,0.2466475578749083,-0.0346400322415278,0.3286805466006296,-0.10763729636904269,0.27062081976088653,,,-0.705179016690843
2001-04-30,0.12039563985672418,0.045674811413162826,0.0023490243607134195,0.43670009976771035,1.3884960955309875,-0.26181330105647,0.26738155137199104,,,1.715134978275051
2001-05-31,0.04765646365291518,-0.17557158506129933,-0.24194950915348148,-0.9019172615007333,1.63822924503527,0.26967041318628837,-0.2108076926823478,,,1.540172520807631
2001-06-30,-0.3069199527196049,-0.17117298720774043,0.4909460913891054,-1.2212605233163574,-0.2106324520829924,-0.25919472321821757,0.26256354875855353,,,-0.7319500490789614
2001-07-31,0.04690977173813743,-0.5005719249149587,-0.24194950915348365,-1.8674209373346928,-1.2624145329152727,-0.32723183218148844,-0.2132045374708865,,,0.5144041363549356
2001-08-31,-0.11400362741125646,0.6711401783259079,0.2466475578749105,0.04969582295239398,-0.47337787838479733,0.17068319640370427,-0.21399812815569413,,,-1.5196939320135445
2001-09-30,0.05031668705188599,-0.04401122887819792,0.0023490243607134195,2.2644030062041174,0.05291334984387048,-0.7362399397251403,0.2562147428507394,,,-1.2810590825607504
2001-10-31,-0.09991870940544474,-0.14701854931377845,0.2466475578749083,-0.2725293157523643,-1.7911150371096314,0.2952035833279813,-0.6865811590423652,,,-0.36573470415527404
2001-11-30,-0.030887958692167185,-0.5231733159425918,0.4909460913891054,0.27516796894634843,-2.8623195897828317,0.48835784265001453,0.2530720840149888,,,-0.2829723143080906
2001-12-31,-0.31383342506580675,-0.6067828101726759,1.468140225445887,0.35000937237987817,0.05940409923636683,-0.29359370086979464,-0.21792650096948205,,,1.3749618036427405
2002-01-31,0.2688281014119665,0.09741923958546195,-0.24194950915348148,0.7323271989133002,0.05831121236121443,0.9354885858053197,0.2483971836657346,,,-0.33614566835788046
2002-02-28,0.039111040950442336,0.26916224242456394,-0.24194950915348148,0.033817518924895845,1.1151766803602334,0.3838685716288292,1.1741233650172764,,,-0.0925477091623021
2002-03-31,0.44646058279841366,0.34756152942334595,0.0023490243607134195,0.03273137157701957,1.3677139677751642,-0.28472300610282864,0.23918555773753544,,,2.0380011347727236
2002-04-30,0.2170823072877195,0.09408404981067649,-0.48624804266767857,-0.1212815721168764,1.0943588013133092,0.5589726142724543,1.1558810332765321,,,-0.01005790188787485
2002-05-31,0.26790076083249786,0.3968464359549251,0.2466475578749083,-1.5807000272370177,0.04710089259212197,-0.017210401125626097,1.1439169087126104,,,-0.32425474742995475
2002-06-30,0.32253856060530395,0.4496949569247098,-0.48624804266767857,-0.7375761514553281,0.046057848264061306,-0.05519451362068496,-0.2308078796395518,,,-0.9552755024400544
2002-07-31,0.15965664956194742,0.41790832145504764,0.0023490243607134195,-1.908378883967917,1.0787126326915077,0.2302995230588311,-0.23154359146759101,,,-0.7335513070909672
2002-08-31,0.4683735640377449,0.10864187362274891,-0.4862480426676764,0.19610880762232183,0.5562097349705157,0.21432391786145644,0.6741409290852032,,,-0.9441167356689325
2002-09-30,-0.14265291911446487,-0.2847613967323122,0.4909460913891032,2.428459291589844,-0.47337787838479733,-0.411154582499274,-0.2344628393475447,,,-1.3197743672497242
2002-10-31,-0.030045293075751003,-0.5153459498665375,0.0023490243607134195,-0.5804678991819707,0.2961378006800394,0.4508768160819309,0.6654392355807002,,,1.4356153765553321
