date,unemployment_rate,employment,employment_fulltime,employment_parttime,participation_rate,hours_worked,avg_weekly_earnings,gdp_monthly,manufacturing_sales,usdcad,overnight_rate,bond_yield_10yr
2000-02-29,0.2466475578749105,0.01757303541807093,0.07022906365083306,-0.06614031100818356,0.0068087628687319955,0.17426858743461068,-0.7608847282194774,-0.16833176946682119,,,,
2000-03-31,0.0023490243607134195,0.06128597339399664,0.2237328166163236,-0.20165025891441082,0.31028505073219675,0.1002332948732891,-0.1869033598436317,0.6780336737016547,,,,
2000-04-30,-0.48624804266767857,0.060200719693231146,-0.46034327161121047,0.8149323846219788,-0.2966675249947328,-0.13317366657955873,0.7921876263440787,-0.2909823696890918,,,,
2000-05-31,-0.24194950915348365,-0.026906213500823863,0.3125867956893188,-0.5201903030254569,-0.29666752499477594,-0.2649506120922921,-1.658296190768219,0.406044141713007,,,,
2000-06-30,0.2466475578749105,-0.051894101224972636,-0.17689546231785047,0.1493470047145404,0.3102850507322399,0.06915247208054329,-0.9269209634021235,0.207922769952899,,,,
2000-07-31,0.2466475578749083,-0.10322289926894684,-0.1067703120160015,-0.06764762043257073,-0.29666752499477594,-0.09315168649374542,-1.095071557997358,0.05563373213950947,,,,
2000-08-31,0.4909460913891054,0.019606484302430446,-0.12681496545716534,0.2307450771800832,0.6137613385957047,0.5662883534146187,0.7224576955915669,0.20752725153394178,,,,
2000-09-30,-0.24194950915348148,0.18475808879639866,-0.16353421759254408,0.6401033516393261,0.3102850507322399,0.17382869864776482,2.1750966425498826,0.014900292702280458,,,,
2000-10-31,0.2466475578749083,0.04297986083731762,0.4747410350364028,-0.602893884818265,0.31028505073219675,0.2526916964146898,-0.10901516637540225,0.026288762214687605,,,,
2000-11-30,-0.24194950915348148,0.14000032764553624,0.5577240013895222,-0.5237049990291358,0.0068087628687319955,0.09492545946722288,-0.2704366580580739,-0.09651273322974996,,,,
2000-12-31,-0.24194950915348365,0.23258662942113073,0.021458916202233235,0.48039930270315173,0.0068087628687319955,0.03062745401650097,-0.029211296841084693,0.09351588680228068,,,,
2001-01-31,0.2466475578749105,-0.321420480577548,-0.41783716606608573,-0.08547787576937037,-0.2966675249947328,-0.3281978438528835,1.0081810177291894,-0.15916949758308155,,,,
2001-02-28,0.2466475578749083,-0.2088297994232025,-0.09185587230650634,-0.32204363761894994,0.0068087628687319955,-0.10429900880549328,0.28394098756874026,-0.20033048147602908,,,,0.10395667249780023
2001-03-31,0.2466475578749083,-0.09450635776248568,-0.154666233737466,0.02458390265040642,0.31028505073219675,0.12278842073474537,-0.0346400322415278,-0.10763729636904269,,,,-0.705179016690843
2001-04-30,0.0023490243607134195,0.12039563985672418,0.045674811413162826,0.19646671498774634,0.0068087628687319955,0.18091141443075323,0.43670009976771035,-0.26181330105647,,,,1.715134978275051
2001-05-31,-0.24194950915348148,0.04765646365291518,-0.17557158506129933,0.36386116648133954,0.0068087628687319955,-0.10363790099823773,-0.9019172615007333,0.26967041318628837,,,,1.540172520807631
2001-06-30,0.4909460913891054,-0.3069199527196049,-0.17117298720774043,-0.4170675106237827,-0.2966675249947328,-0.12526308281971754,-1.2212605233163574,-0.25919472321821757,,,,-0.7319500490789614
2001-07-31,-0.24194950915348365,0.04690977173813743,-0.5005719249149587,0.8365385831358148,-0.29666752499477594,-0.2378373317832984,-1.8674209373346928,-0.32723183218148844,,,,0.5144041363549356
2001-08-31,0.2466475578749105,-0.11400362741125646,0.6711401783259079,-1.2386623276774817,0.0068087628687319955,0.11749259976257649,0.04969582295239398,0.17068319640370427,,,,-1.5196939320135445
2001-09-30,0.0023490243607134195,0.05031668705188599,-0.04401122887819792,0.17685896612385413,0.0068087628687319955,0.004697767907413131,2.2644030062041174,-0.7362399397251403,,,,-1.2810590825607504
2001-10-31,0.2466475578749083,-0.09991870940544474,-0.14701854931377845,-0.00043194515131577175,0.3102850507322399,0.11410382710488459,-0.2725293157523643,0.2952035833279813,,,,-0.36573470415527404
2001-11-30,0.4909460913891054,-0.030887958692167185,-0.5231733159425918,0.7054450861758392,0.31028505073219675,0.25146988894557537,0.27516796894634843,0.48835784265001453,,,,-0.2829723143080906
2001-12-31,1.468140225445887,-0.31383342506580675,-0.6067828101726759,0.2067364687215363,0.6137613385957047,0.6826821955585226,0.35000937237987817,-0.29359370086979464,,,,1.3749618036427405
2002-01-31,-0.24194950915348148,0.2688281014119665,0.09741923958546195,0.4348516147538481,0.31028505073219675,0.3825969624220419,0.7323271989133002,0.9354885858053197,,,,-0.33614566835788046
2002-02-28,-0.24194950915348148,0.039111040950442336,0.26916224242456394,-0.3045480175969102,0.0068087628687319955,-0.09258243327475318,0.033817518924895845,0.3838685716288292,,,,-0.0925477091623021
2002-03-31,0.0023490243607134195,0.44646058279841366,0.34756152942334595,0.4558755768812263,0.6137613385957047,0.6433212207687266,0.03273137157701957,-0.28472300610282864,,,,2.0380011347727236
2002-04-30,-0.48624804266767857,0.2170823072877195,0.09408404981067649,0.3257340384927063,0.0068087628687319955,0.014596971092799256,-0.1212815721168764,0.5589726142724543,,,,-0.01005790188787485
2002-05-31,0.2466475578749083,0.26790076083249786,0.3968464359549251,0.0017925753423315765,0.6137613385957047,0.6080352515543995,-1.5807000272370177,-0.017210401125626097,,,,-0.32425474742995475
2002-06-30,-0.48624804266767857,0.32253856060530395,0.4496949569247098,0.04209694767712964,0.31028505073219675,0.23925967257743497,-0.7375761514553281,-0.05519451362068496,,,,-0.9552755024400544
