date,value
2025-04-01,170.5
2025-05-01,171.7
2025-06-01,172.6
2025-07-01,173.3
2025-08-01,172.7
2025-09-01,171.8
2025-10-01,171.1
2025-11-01,171.6
2025-12-01,172.6
2026-01-01,170.2
